t,alpha=-2,alpha=-10,alpha=-20,alpha=-50,alpha=-100
1.600000000000000033e-01,7.623014250832971239e-01,-5.243128700889919391e-02,3.418431829454073034e-02,1.134619592393146595e-02,6.036545783642023599e-04
1.610000000000000042e-01,7.316903443884714697e-01,-3.913666682346368664e-02,1.089535754668415068e-02,8.707148256103334344e-04,5.269150057627368378e-02
1.620000000000000051e-01,6.942839062383997506e-01,-8.940855160763644394e-02,1.602619692673314111e-03,1.839172221875643234e-02,5.409532935401432235e-02
1.630000000000000060e-01,6.836995144601201169e-01,-1.022669309053485243e-01,7.519481105068556021e-03,2.431109180190482028e-02,3.313582864266653716e-02
1.640000000000000069e-01,6.624037753642758597e-01,-7.735317891908476129e-02,6.276582568076696789e-02,7.563368357887361240e-03,6.565498694085791787e-02
1.650000000000000078e-01,6.919786371077514264e-01,-5.819640442615028192e-02,1.741343574610675071e-02,-2.921380308159298930e-02,9.542801448078616633e-02
1.660000000000000087e-01,6.831011586392820023e-01,-4.854486028927298968e-02,4.010211050362520735e-02,1.954006970529491294e-02,1.047409612785548116e-01
1.670000000000000095e-01,6.855325361479444046e-01,-3.958611603432557469e-02,1.189105408802129393e-01,8.176091496026639815e-03,1.189185028739345729e-01
1.680000000000000104e-01,6.481470948807497301e-01,-8.671112077689614728e-02,1.409843266547440022e-01,-7.573188678594411360e-03,6.582532025069572079e-02
1.690000000000000113e-01,6.832673193377121201e-01,-4.028136995313561647e-02,1.656943114778362813e-01,-1.514625625162684466e-02,6.947818874273961609e-02
1.700000000000000122e-01,6.917793398912182035e-01,-6.492248935692751521e-03,1.426916267577344188e-01,-2.017212561726669864e-02,5.778768196545361335e-02
1.710000000000000131e-01,6.733923736470710519e-01,-1.945727290622072808e-02,1.242342153137106081e-01,-5.034869386044690115e-03,1.499424145355530286e-02
1.720000000000000140e-01,6.182966442142703301e-01,-6.047077907485229331e-02,8.352249116956661501e-02,-4.793684473237752597e-02,3.823726608661255633e-02
1.730000000000000149e-01,5.913336131766288029e-01,-8.818852334732520115e-02,8.530179727095150988e-02,-4.787960918443199404e-02,4.011374201888861374e-02
1.740000000000000158e-01,6.226613469858751637e-01,-5.462207139812661622e-02,6.932741288257600332e-02,-8.809507639450318839e-02,6.831398209006070421e-02
1.750000000000000167e-01,6.174755702593370810e-01,-9.287795773439010139e-02,4.643827336970867553e-02,-6.693810730002416887e-02,8.630711253651540682e-02
1.759999999999999898e-01,6.327305560666407480e-01,-6.908688797501963408e-02,4.466533839478355195e-02,-4.218277389520985049e-02,2.060449316851247631e-02
1.769999999999999907e-01,6.720999528040970672e-01,-8.038029161533176425e-02,6.742045763638619682e-02,-4.701586154803902295e-02,2.331635600452050539e-02
1.779999999999999916e-01,6.568651769943316676e-01,-7.425879929292228399e-02,6.937108851583127789e-02,-8.908999376785339819e-03,4.615496511085034198e-02
1.789999999999999925e-01,6.771524282680617679e-01,-2.404054712793152887e-02,7.900715901269429742e-02,-2.002493140674383582e-02,6.554428377616210166e-02
1.799999999999999933e-01,6.653406988659865684e-01,-8.084283764786993898e-02,6.961635093645340833e-02,-2.363184042248558936e-02,8.441811142662891676e-02
1.809999999999999942e-01,6.751839654670436230e-01,-1.220581347828782887e-01,6.618693998009730906e-02,-3.094874953826207489e-02,5.033242049518642236e-02
1.819999999999999951e-01,6.579688142230594172e-01,-6.044294726614811430e-02,9.201104221839091768e-02,-2.514333655143191973e-02,5.013883624620083662e-02
1.829999999999999960e-01,6.674789706637991316e-01,-7.836073373330278147e-02,8.064611952982179977e-02,-4.781246368791064461e-02,5.471076568214103958e-02
1.839999999999999969e-01,6.368286770704484345e-01,-8.419417922294988865e-02,2.895515241604891543e-02,-2.496590688785242998e-02,7.853051992448271956e-02
1.849999999999999978e-01,5.833086411088310719e-01,-1.344405327374128545e-01,4.594677687315164988e-02,-3.179698441212157334e-02,9.739333415850971731e-02
1.859999999999999987e-01,5.965939675290481414e-01,-1.172791010799706241e-01,4.289914948929613586e-02,-4.314363167407921085e-02,8.988513564742041384e-02
